line,route,grade,geometry
SILVER,SL4 SL5,3,"LINESTRING (-71.08080344503173 42.3331064691974, -71.08055745281837 42.333470599920815, -71.08044117252614 42.333608085367686, -71.0803095464184 42.33373980865547, -71.0798340734557 42.33410995370559, -71.0792526898174 42.33459859757151, -71.07854658335803 42.335163011001534)"
SILVER,SL4 SL5,3,"LINESTRING (-71.08371931371673 42.32970403365178, -71.08355015058484 42.32968372697216, -71.08345132532796 42.329691809174044, -71.08336438327866 42.32970893730333, -71.08332933055387 42.32973469373149, -71.08328850954018 42.32977280830476, -71.08320521386472 42.330128685495744, -71.08305630509851 42.33067583176114, -71.08298649367536 42.33076593389664, -71.08266929644472 42.33104916340306, -71.08193679748852 42.33171798211748, -71.08166100627999 42.33194143937896, -71.08137554093753 42.33227043378627, -71.08115726322106 42.33251882853944, -71.08080344503173 42.3331064691974)"
SILVER,SL4 SL5,3,"LINESTRING (-71.07854658335803 42.335163011001534, -71.0778903988309 42.33569593375436, -71.07755909737863 42.33597243956514, -71.07719975836804 42.336249708295604)"
SILVER,SL4 SL5,3,"LINESTRING (-71.07719975836804 42.336249708295604, -71.07623864661377 42.33693865775411, -71.07539890806368 42.3375550750871)"
SILVER,SL4 SL5,3,"LINESTRING (-71.07539890806368 42.3375550750871, -71.07490533025913 42.33790576479208, -71.07421632523597 42.33837401114047, -71.07375725814376 42.338690893435945)"
SILVER,SL4 SL5,3,"LINESTRING (-71.07375725814376 42.338690893435945, -71.0724185312744 42.33957999684735, -71.07174631673453 42.34002451405077, -71.07101107461659 42.34049827590625, -71.070664676291 42.34072429707886, -71.07057323510163 42.34078577783938, -71.07036858340484 42.34090485225416, -71.07022175704115 42.34100416944299, -71.07004040623296 42.341128994099115, -71.06984216748268 42.34121233009321, -71.06921600633562 42.34143484478266)"
SILVER,SL4 SL5,3,"LINESTRING (-71.06921600633562 42.34143484478266, -71.06870083789266 42.34163095815947, -71.06823657707092 42.34184226288768, -71.06784632609192 42.34212445664383, -71.0676188919168 42.34230130057545, -71.06699451985648 42.34279255827566, -71.06639233843667 42.34328060568754, -71.06622674702935 42.34347688329447, -71.06607798792264 42.34362880912864, -71.06598672950554 42.34377419965377, -71.0657948665508 42.344133970635845)"
GREEN,B C D E,7,"LINESTRING (-71.07920620501226 42.34957974289605, -71.07797545347893 42.34990763622014, -71.07098957216228 42.35176848717868, -71.07049870444139 42.35190187500422, -71.06913638199468 42.352251782397595, -71.06828119077117 42.35243780900336, -71.06803836391256 42.3524900718986, -71.06780620493922 42.35252360512324, -71.06739692553907 42.35255803822721, -71.06708953034764 42.352571922566895, -71.06698143404304 42.3525768029872, -71.06673896850901 42.352575889713634, -71.06604114117418 42.35256544028874, -71.06565331185016 42.35254677328634, -71.06518542498564 42.352518417690995, -71.06502727451962 42.352520949892686, -71.06496666454161 42.352527209906704, -71.06492173608132 42.35253775249691, -71.06486558227932 42.35255489046264, -71.06483918607822 42.35256536447708, -71.0648177409098 42.35257423493459, -71.06479901962233 42.352585550082665, -71.06478027308448 42.35260052930303, -71.06476536076647 42.352615522133824, -71.0647502976323 42.35263250222888, -71.064733262225 42.352658107749896, -71.06472039220121 42.35268868967155, -71.06468391930517 42.35278082425597, -71.06460214050452 42.35302135611174, -71.06455699125773 42.35314786246547, -71.06452921401812 42.353200928477214, -71.06446755350667 42.353275764846906, -71.0642699740209 42.3534923998355, -71.06419944881856 42.35362975831665, -71.06414178619829 42.353735885784275, -71.06406280696221 42.35387633704811, -71.06386596086365 42.354291592723925, -71.06373981233969 42.354544465161766, -71.06366274288824 42.35471307817774, -71.0635052827503 42.3550607221976, -71.06343531334188 42.3551763258649, -71.06334690946959 42.35530088578306, -71.06316643440437 42.3555089553645, -71.06303126480876 42.35563785865576, -71.06224495441066 42.35630568305608, -71.06191821950405 42.356533707849955, -71.06170650961448 42.35672623592722, -71.06151885339209 42.35691174842464, -71.06135259042793 42.35705521763103, -71.06111455770399 42.35727650931569, -71.06088977717656 42.357483161078434, -71.06061470202198 42.35777321403106, -71.06038376917665 42.3580300892275, -71.06024128710335 42.35819949594495, -71.06004881827297 42.35841686240643, -71.05986015079256 42.35863707808798, -71.05967884360851 42.35889697226194, -71.05955625711778 42.35914691774023, -71.05945866866408 42.35929663857172)"
RED,A - Ashmont  C - Alewife,4,"LINESTRING (-71.05307301572165 42.322822350079846, -71.05320521003448 42.323033312255255, -71.05334599910756 42.323245026078794, -71.05354283375193 42.32350277631982, -71.05374786837847 42.32374064072987, -71.05400378542654 42.323996628008814, -71.05419315204064 42.3241726721796, -71.05442002823938 42.324358822340756, -71.05468439374297 42.32455906110506, -71.05479856991683 42.32464768390951, -71.05498877984594 42.324795312120465, -71.05572842274186 42.32536394626274)"
SILVER,SL1 SL2 SL3,3,"LINESTRING (-71.03814354394567 42.34716914099633, -71.0383706171313 42.34716597092859, -71.03853901646136 42.34716552150652, -71.03925427014569 42.347160422173374, -71.03960752626801 42.34718051104296, -71.03971944633832 42.3471910901115, -71.03984331820556 42.347215079963554, -71.04068244351073 42.34754322861461, -71.04262947980159 42.34834155552723)"
