"","coname","locnum","staddr","stcity","state","zip","year","source","latitude","longitude","store_type","naics_6"
"5239","Ma Grocery Inc","756706785","211 Ferry Streeet","Malden","MA","02148",2021,"Data Axle","042.423241",-71.063263,"Supermarket or Other Grocery","445110"
"5240","Halal International Food Mart","756706837","99 Bridge St","Weymouth","MA","02191",2021,"Data Axle","042.242701",-70.961947,"Supermarket or Other Grocery","445110"
"5241","Cvs Pharmacy #11400","756731330","495 Grand Union Blvd","Somerville","MA","02145",2021,"Data Axle","042.391300",-71.0921,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5242","Azzur Cod-Burlington","756794440","60 Blanchard Rd","Burlington","MA","01803",2021,"Data Axle","042.480314",-71.202417,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"5243","Rick's Fresh Seafood","756796941","259 Stockbridge Rd","Scituate","MA","02066",2021,"Data Axle","042.179653",-70.745573,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"5244","Sprout","756864744","46 L St","South Boston","MA","02127",2021,"Data Axle","042.336881",-71.03521,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5245","Price Rite","756864790","650 American Legion Hwy","Roslindale","MA","02131",2021,"Data Axle","042.284088",-71.110855,"Supermarket or Other Grocery","445110"
"5246","Dugout Supermarket","756864800","602 Blue Hill Ave","Boston","MA","02121",2021,"Data Axle","042.303799",-71.084724,"Supermarket or Other Grocery","445110"
"5247","Price Rite","756864821","330 Martin Luther King Blvd","Roxbury","MA","02119",2021,"Data Axle","042.319456",-71.0824,"Supermarket or Other Grocery","445110"
"5248","Price Rite Marketplace","756864838","500 Geneva Ave","Dorchester","MA","02122",2021,"Data Axle","042.298881",-71.062183,"Supermarket or Other Grocery","445110"
"5249","Black Sheep Market","756871438","101 Magazine Stfrnt","Cambridge","MA","02139",2021,"Data Axle","042.364737",-71.110892,"Supermarket or Other Grocery","445110"
"5250","Ocean Seafood Intl Inc","757130071","845B Sandwich Rd","Sagamore","MA","02561",2021,"Data Axle","041.773500",-70.5397,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"5251","Amj Market Inc","757130116","1 North Ave","Attleboro","MA","02703",2021,"Data Axle","041.952633",-71.295802,"Supermarket or Other Grocery","445110"
"5252","Global Seafood Connection Inc","757130603","2 Cynthia Rd","Canton","MA","02021",2021,"Data Axle","042.186426",-71.096074,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"5253","Zhou's Gourmet Systems Inc","757130608","53 Calthea St","Stoneham","MA","02180",2021,"Data Axle","042.485744",-71.094894,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"5254","Basic Market Inc","757130632","14 Waushakum St","Framingham","MA","01702",2021,"Data Axle","042.271909",-71.418181,"Supermarket or Other Grocery","445110"
"5255","Cottage City Market Place Corp","757130734","229 Edgartown Rd","Vineyard Haven","MA","02568",2021,"Data Axle","041.444504",-70.610111,"Supermarket or Other Grocery","445110"
"5256","Las Chamas Supermarket-Cafe","757130826","140-142 Water St","Lawrence","MA","01841",2021,"Data Axle","042.711200",-71.1664,"Supermarket or Other Grocery","445110"
"5257","Bedford Minimart","757179085","328 Great Rd","Bedford","MA","01730",2021,"Data Axle","042.486328",-71.262894,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5258","Bolt Groceries","757210093","70 Center St","Hyannis","MA","02601",2021,"Data Axle","041.656075",-70.28103,"Supermarket or Other Grocery","445110"
"5259","Quick One Stop Shop Inc","757281503","535 Belleville Ave","New Bedford","MA","02746",2021,"Data Axle","041.666332",-70.922362,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5260","Nauset Gastronomy Inc","757282088","2 Buttonwood Rd","Harwich","MA","02645",2021,"Data Axle","041.716868",-70.071844,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"5261","Innovative Convenience Inc","757282131","32 Solomon Pierce Rd","Lexington","MA","02420",2021,"Data Axle","042.443533",-71.212234,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5262","S & P Foodies Hub Inc","757282265","65 Maple St","Agawam","MA","01001",2021,"Data Axle","042.094741",-72.634192,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"5263","Freeboi Meat Market Inc","757282293","714 Broadway Apt 1","Everett","MA","02149",2021,"Data Axle","042.414902",-71.048618,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"5264","Ocean Spray Seafood Inc","757282457","114 Macarthur Dr Unit 4","New Bedford","MA","02740",2021,"Data Axle","041.627687",-70.920338,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"5265","Carnes Lc & Meat Corp","757282747","877 Western Ave","Lynn","MA","01905",2021,"Data Axle","042.458947",-70.970255,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"5266","Molinas Meat Market","757306373","11 2nd St","Chelsea","MA","02150",2021,"Data Axle","042.396700",-71.0331,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"5267","Cumberland Farms","757333304","1987 Washington St","Hanover","MA","02339",2021,"Data Axle","042.156728",-70.84906,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5268","Food Land Intl LLC","757378398","123 Church St","Lowell","MA","01852",2021,"Data Axle","042.641482",-71.305133,"Supermarket or Other Grocery","445110"
"5269","Masiel Grocery Store Inc","757414816","373 Fl Broadway","Lawrence","MA","01841",2021,"Data Axle","042.711200",-71.1664,"Supermarket or Other Grocery","445110"
"5270","Friday Food Mkt","757442558","50 Terminal St","Charlestown","MA","02129",2021,"Data Axle","042.383341",-71.059856,"Supermarket or Other Grocery","445110"
"5271","R J Smokes & Convenience","757442633","844 Blue Hill Ave","Dorchester","MA","02124",2021,"Data Axle","042.296033",-71.087301,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5272","Yin Yin Convenience Store","757449466","392 Hancock St","Quincy","MA","02171",2021,"Data Axle","042.273959",-71.025541,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5273","Ocean State Job Lot","757563356","Rte18/Bedford St","East Bridgewater","MA","02333",2021,"Data Axle","042.030600",-70.9427,"Convenience Stores, Pharmacies, and Drug Stores","452319"
"5274","Momma Grocery & Wine","758067229","75 Dudley St","Cambridge","MA","02140",2021,"Data Axle","042.395910",-71.132034,"Supermarket or Other Grocery","445110"
"5275","CVS/PHARMACY","832122204","1001 Thorndike St","Palmer","MA","01069",2021,"Data Axle","042.157549",-72.329276,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5276","Convenience Plus","832123160","1144 Thorndike St","Palmer","MA","01069",2021,"Data Axle","042.168329",-72.326525,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5277","Walgreens","832136584","163 South St Ste 1","Pittsfield","MA","01201",2021,"Data Axle","042.444439",-73.254326,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5278","Walgreens","832136832","180 Elm St Ste J","Pittsfield","MA","01201",2021,"Data Axle","042.443378",-73.2379,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5279","Northfield Food Mart LLC","832156095","74 Main St","Northfield","MA","01360",2021,"Data Axle","042.694833",-72.45655,"Supermarket or Other Grocery","445110"
"5280","Walgreens","832172589","32 Union St","Easthampton","MA","01027",2021,"Data Axle","042.269070",-72.672023,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5281","Walgreens","832176184","197 Main St","Great Barrington","MA","01230",2021,"Data Axle","042.197201",-73.360685,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5282","Nouria","832186522","520 Montgomery St","Chicopee","MA","01020",2021,"Data Axle","042.174135",-72.586229,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5283","La Pescaderia Restaurant","832187835","389 Main St","Holyoke","MA","01040",2021,"Data Axle","042.199221",-72.608082,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"5284","C Mart","832195762","1500 Northampton St Ste B","Holyoke","MA","01040",2021,"Data Axle","042.212337",-72.629013,"Supermarket or Other Grocery","445110"
"5285","Stop N Go","832196638","399 Hillside Ave","Holyoke","MA","01040",2021,"Data Axle","042.198700",-72.634447,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5286","Amherst Center Store","832210264","259 Triangle St","Amherst","MA","01002",2021,"Data Axle","042.381678",-72.518766,"Supermarket or Other Grocery","445110"
"5287","CVS/PHARMACY","832219174","410 Longmeadow St","Longmeadow","MA","01106",2021,"Data Axle","042.059845",-72.580509,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5288","CVS/PHARMACY","832248629","366 King St","Northampton","MA","01060",2021,"Data Axle","042.336499",-72.637495,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5289","CVS/PHARMACY","832251730","451 Center St","Ludlow","MA","01056",2021,"Data Axle","042.169751",-72.480771,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5290","BJ'S Wholesale Club","832257380","650 Memorial Dr Ste 1","Chicopee","MA","01020",2021,"Data Axle","042.175686",-72.576988,"Warehouse Clubs and Supercenters","452311"
"5291","Bartlett's Orchard","832285126","575 Swamp Rd","Richmond","MA","01254",2021,"Data Axle","042.375100",-73.3637,"Fruit and Vegetable Markets","445230"
"5292","Greenfield Market","832335509","144 Main St","Greenfield","MA","01301",2021,"Data Axle","042.588094",-72.604116,"Supermarket or Other Grocery","445110"
"5293","Asian Market","832343842","19 Pomona St","Springfield","MA","01108",2021,"Data Axle","042.088943",-72.554889,"Supermarket or Other Grocery","445110"
"5294","Walgreens","832348882","381 Cooley St","Springfield","MA","01128",2021,"Data Axle","042.092659",-72.497728,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5295","CVS/PHARMACY","832365282","287 Springfield St","Agawam","MA","01001",2021,"Data Axle","042.088189",-72.638844,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5296","Walgreens","832366900","240 Avenue A","Turners Falls","MA","01376",2021,"Data Axle","042.605196",-72.560913,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5297","CVS/PHARMACY","832370563","104 West St","Ware","MA","01082",2021,"Data Axle","042.256448",-72.24796,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5298","7-ELEVEN","839700242","507 State Rd","Plymouth","MA","02360",2021,"Data Axle","041.924032",-70.57035,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5299","A & J Seabra Super Market","839702008","217 S Main St","Attleboro","MA","02703",2021,"Data Axle","041.935135",-71.287081,"Supermarket or Other Grocery","445110"
"5300","Foppema's Farm","839716743","1605 Hill St","Northbridge","MA","01534",2021,"Data Axle","042.149793",-71.681464,"Fruit and Vegetable Markets","445230"
"5301","CVS/PHARMACY","839731932","1653 Main St","Athol","MA","01331",2021,"Data Axle","042.587933",-72.215313,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5302","Hannaford Supermarket","839731965","150 New Athol Rd","Athol","MA","01331",2021,"Data Axle","042.581844",-72.262863,"Supermarket or Other Grocery","445110"
"5303","Walgreens","839743929","130 Rt 6A","Orleans","MA","02653",2021,"Data Axle","041.786180",-69.994689,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5304","7-ELEVEN","839745130","178 Rt 6A","Orleans","MA","02653",2021,"Data Axle","041.777300",-69.9806,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5305","Quaker Deli & Convenience","839763711","544 Quaker Hwy","Uxbridge","MA","01569",2021,"Data Axle","042.036102",-71.618614,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5306","Xtra Mart","839764032","674 Quaker Hwy","Uxbridge","MA","01569",2021,"Data Axle","042.031328",-71.612152,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5307","Campus Convenience","839776168","63 E Main St","Norton","MA","02766",2021,"Data Axle","041.969993",-71.180188,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5308","7-ELEVEN","839780467","3106 Cranberry Hwy","East Wareham","MA","02538",2021,"Data Axle","041.756020",-70.641361,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5309","Walgreens","839818929","178 Main St","Sturbridge","MA","01566",2021,"Data Axle","042.097503",-72.071385,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5310","Boathouse","839820545","25 Holbrook Ave","Wellfleet","MA","02667",2021,"Data Axle","041.931921",-70.030449,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"5311","CVS/PHARMACY","839830833","114 Central St","Ipswich","MA","01938",2021,"Data Axle","042.683578",-70.844049,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5312","Barnstable Market","839839602","3220 Main St","Barnstable","MA","02630",2021,"Data Axle","041.701838",-70.303043,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5313","George Hill Orchards Inc","839844081","582 George Hill Rd","South Lancaster","MA","01561",2021,"Data Axle","042.445000",-71.684,"Fruit and Vegetable Markets","445230"
"5314","Shaw's Supermarket","839852795","1175 Main St Ste 5","Clinton","MA","01510",2021,"Data Axle","042.434106",-71.683936,"Supermarket or Other Grocery","445110"
"5315","Apple Country Market","839853546","159 Mechanic St","Clinton","MA","01510",2021,"Data Axle","042.415193",-71.68454,"Supermarket or Other Grocery","445110"
"5316","Roche Bros","839879947","6 Milliston Rd","Millis","MA","02054",2021,"Data Axle","042.166950",-71.354103,"Supermarket or Other Grocery","445110"
"5317","CVS/PHARMACY","839880630","2 Milliston Rd","Millis","MA","02054",2021,"Data Axle","042.167961",-71.35408,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5318","CVS/PHARMACY","839882446","225 Bedford St Ste 4","East Bridgewater","MA","02333",2021,"Data Axle","042.026691",-70.959785,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5319","CVS/PHARMACY","839903028","976 Route 28","South Yarmouth","MA","02664",2021,"Data Axle","041.656674",-70.206331,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5320","Ocean State Job Lot","839903770","1080 Route 28","South Yarmouth","MA","02664",2021,"Data Axle","041.661438",-70.203331,"Convenience Stores, Pharmacies, and Drug Stores","452319"
"5321","CVS/PHARMACY","839908399","812 Route 134","South Dennis","MA","02660",2021,"Data Axle","041.712161",-70.152253,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5322","CVS/PHARMACY","839909918","465 Station Ave","South Yarmouth","MA","02664",2021,"Data Axle","041.684892",-70.209074,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5323","Main Street Market","839932837","715 Main St","Harwich","MA","02645",2021,"Data Axle","041.685921",-70.074508,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5324","7-ELEVEN","839964897","59 Locust St","Falmouth","MA","02540",2021,"Data Axle","041.553924",-70.624018,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5325","Broadway Convenience","839967908","14 Broadway Rd # 14","Dracut","MA","01826",2021,"Data Axle","042.671935",-71.296058,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5326","Hannaford Supermarket","839974979","66 Drum Hill Rd # 2","Chelmsford","MA","01824",2021,"Data Axle","042.623127",-71.360931,"Supermarket or Other Grocery","445110"
"5327","Market Basket","839977311","25 Storey Ave Ste 3","Newburyport","MA","01950",2021,"Data Axle","042.821206",-70.902307,"Supermarket or Other Grocery","445110"
"5328","David's Fish Market Inc","839978582","54 Bridge Rd","Salisbury","MA","01952",2021,"Data Axle","042.834774",-70.862712,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"5329","CVS/PHARMACY","839980745","13 1/2 Pond St Ste 3","Newburyport","MA","01950",2021,"Data Axle","042.806668",-70.873628,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5330","Kwik Stop Convenience Store","839984846","106 Main St","Princeton","MA","01541",2021,"Data Axle","042.478058",-71.84084,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5331","Andy's Market Inc","840012942","425 Nathan Ellis Hwy","Mashpee","MA","02649",2021,"Data Axle","041.616146",-70.518898,"Supermarket or Other Grocery","445110"
"5332","CVS/PHARMACY","840015606","50 Medway Rd","Milford","MA","01757",2021,"Data Axle","042.150228",-71.499801,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5333","Shaw's Supermarket","840018048","93 Prospect St","Milford","MA","01757",2021,"Data Axle","042.138501",-71.533671,"Supermarket or Other Grocery","445110"
"5334","West Side Convenience","840022669","505 Boston Post Rd W Ste A","Marlborough","MA","01752",2021,"Data Axle","042.336044",-71.603364,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5335","Donelan's Supermarkets Inc","840036560","236 Great Rd","Littleton","MA","01460",2021,"Data Axle","042.543300",-71.4663,"Supermarket or Other Grocery","445110"
"5336","East End Marketplace","840040570","212 Bradford St","Provincetown","MA","02657",2021,"Data Axle","042.058428",-70.177501,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5337","7-ELEVEN","840048359","687 S Main St","Bradford","MA","01835",2021,"Data Axle","042.759401",-71.097261,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5338","CVS/PHARMACY","840052062","272 E Central St","Franklin","MA","02038",2021,"Data Axle","042.079390",-71.384887,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5339","C & C Lobster Co","840070114","297 Lynn St","Peabody","MA","01960",2021,"Data Axle","042.496797",-70.957308,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"5340","CVS/PHARMACY","840080923","637 Lowell St Ste 3","Peabody","MA","01960",2021,"Data Axle","042.550477",-71.001841,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5341","Wendell Country Store","840105282","57 Lockes Village Rd","Wendell","MA","01379",2021,"Data Axle","042.541722",-72.400824,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5342","Walgreens","840115240","771 Centre St","Brockton","MA","02302",2021,"Data Axle","042.086401",-70.986985,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5343","CVS/PHARMACY","840116602","355 Centre St","Brockton","MA","02302",2021,"Data Axle","042.083469",-71.005646,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"5344","Lake Boon Convenience Food Inc","840125181","700 Main St","Hudson","MA","01749",2021,"Data Axle","042.392113",-71.493791,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5345","7-ELEVEN","840126593","65 Oak St Ext","Brockton","MA","02301",2021,"Data Axle","042.099845",-71.063515,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5346","Country Food Store","840157531","380 N Main St","Brockton","MA","02301",2021,"Data Axle","042.093370",-71.019711,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"5347","Crossroad's Country Store","840157929","732 Crescent St","Brockton","MA","02302",2021,"Data Axle","042.081918",-70.989101,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"5348","Gary's Farm Stand","840159750","159 Main St","Townsend","MA","01469",2021,"Data Axle","042.663600",-71.7004,"Fruit and Vegetable Markets","445230"
"5349","Edgartown Seafood Market","840165799","138 Cooke St","Edgartown","MA","02539",2021,"Data Axle","041.391451",-70.522046,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"5350","Westport Lobster","840180483","915 Main Rd","Westport","MA","02790",2021,"Data Axle","041.574040",-71.091425,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"5351","Donelan's Supermarket","840194799","177 Commonwealth Rd","Wayland","MA","01778",2021,"Data Axle","042.317032",-71.362358,"Supermarket or Other Grocery","445110"
"5352","Walgreens","840202386","35 Main St Ste 9","Wayland","MA","01778",2021,"Data Axle","042.317247",-71.362748,"Convenience Stores, Pharmacies, and Drug Stores","446110"
