"","coname","locnum","staddr","stcity","state","zip","year","source","latitude","longitude","store_type","naics_6"
"1","Lamberts Rainbow Fruit","000479394","777 William T Morrissey Blvd","Dorchester","MA","02122",2021,"Data Axle","042.295527",-71.04868,"Fruit and Vegetable Markets","445230"
"2","Gaspar's Linguica Co Inc","000925115","384 Faunce Corner Rd","North Dartmouth","MA","02747",2021,"Data Axle","041.664947",-70.992194,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"3","Crescent Ridge","001466424","355 Bay Rd","Sharon","MA","02067",2021,"Data Axle","042.127456",-71.151281,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"4","Henry's Fine Foods","001778869","588 Cabot St # 1","Beverly","MA","01915",2021,"Data Axle","042.571595",-70.893783,"Supermarket or Other Grocery","445110"
"5","Compare Supermarket","001793363","157 Hawthorne St","Chelsea","MA","02150",2021,"Data Axle","042.396700",-71.0331,"Supermarket or Other Grocery","445110"
"6","Fruit Fair","001793785","398 Front St","Chicopee","MA","01013",2021,"Data Axle","042.147994",-72.601691,"Supermarket or Other Grocery","445110"
"7","Masses Fish Market Inc","001793843","1329 Memorial Dr","Chicopee","MA","01020",2021,"Data Axle","042.193820",-72.574922,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"8","7-ELEVEN","001794296","1224 Main St","Concord","MA","01742",2021,"Data Axle","042.456905",-71.392303,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"9","Paul W Marks Co Inc","001795988","8 Commercial St","Everett","MA","02149",2021,"Data Axle","042.392554",-71.053999,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"10","Donelans Supermarket-Lincoln","001802883","145 Lincoln Rd","Lincoln","MA","01773",2021,"Data Axle","042.414993",-71.32537,"Supermarket or Other Grocery","445110"
"11","Randall's Farm Inc","001803709","631 Center St","Ludlow","MA","01056",2021,"Data Axle","042.179614",-72.472804,"Fruit and Vegetable Markets","445230"
"12","Crosby's Marketplace","001805258","118 Washington St Ste 5","Marblehead","MA","01945",2021,"Data Axle","042.504414",-70.84923,"Supermarket or Other Grocery","445110"
"13","Waban Market","001810266","10 Windsor Rd","Waban","MA","02468",2021,"Data Axle","042.326991",-71.230766,"Supermarket or Other Grocery","445110"
"14","Steve's Quality Market","001815323","36 Margin St","Salem","MA","01970",2021,"Data Axle","042.519007",-70.896423,"Supermarket or Other Grocery","445110"
"15","Walgreens","001819473","51 Tremont St","Taunton","MA","02780",2021,"Data Axle","041.905610",-71.105221,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"16","Russo's","001822451","560 Pleasant St","Watertown","MA","02472",2021,"Data Axle","042.365992",-71.210539,"Fruit and Vegetable Markets","445230"
"17","Lees Super Mkt","001823863","796 Main Rd","Westport","MA","02790",2021,"Data Axle","041.580329",-71.089223,"Supermarket or Other Grocery","445110"
"18","Lamberts Rainbow Fruit","001823996","220 Providence Hwy","Westwood","MA","02090",2021,"Data Axle","042.218533",-71.180028,"Fruit and Vegetable Markets","445230"
"19","Lucci's Super Market Inc","001824903","223 Lowell St","Wilmington","MA","01887",2021,"Data Axle","042.558700",-71.1724,"Supermarket or Other Grocery","445110"
"20","Fairway Beef Co","001826551","48 Grafton St","Worcester","MA","01604",2021,"Data Axle","042.259723",-71.794081,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"21","Old Neighborhood","002673309","37 Waterhill St","Lynn","MA","01905",2021,"Data Axle","042.465044",-70.969349,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"22","Blood Farm","002673382","94 W Main St","West Groton","MA","01472",2021,"Data Axle","042.602900",-71.6274,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"23","J P Sullivan & Co","002679546","50 Barnum Rd","Ayer","MA","01432",2021,"Data Axle","042.551664",-71.574232,"Fruit and Vegetable Markets","445230"
"24","Super Stop & Shop","002979896","400 Lincoln St","Hingham","MA","02043",2021,"Data Axle","042.247681",-70.923834,"Supermarket or Other Grocery","445110"
"25","Roche Bros","002979995","338 Washington St","Westwood","MA","02090",2021,"Data Axle","042.216975",-71.188174,"Supermarket or Other Grocery","445110"
"26","Stop & Shop Supermarket","002980134","2991 Cranberry Hwy","East Wareham","MA","02538",2021,"Data Axle","041.759465",-70.664462,"Supermarket or Other Grocery","445110"
"27","Roche Bros","002980373","150 W Central St","Natick","MA","01760",2021,"Data Axle","042.282271",-71.376543,"Supermarket or Other Grocery","445110"
"28","CVS/PHARMACY","003311206","66 S Main St","Sharon","MA","02067",2021,"Data Axle","042.121473",-71.180085,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"29","Wilson Farm","004032884","10 Pleasant St","Lexington","MA","02421",2021,"Data Axle","042.424682",-71.205452,"Supermarket or Other Grocery","445110"
"30","Big Y","004467148","740 Main St","Great Barrington","MA","01230",2021,"Data Axle","042.188600",-73.352,"Supermarket or Other Grocery","445110"
"31","Whole Foods Market","004501771","647 Washington St","Newtonville","MA","02458",2021,"Data Axle","042.353646",-71.200109,"Supermarket or Other Grocery","445110"
"32","Market Basket","004501961","700 Boston Rd Ste 13","Billerica","MA","01821",2021,"Data Axle","042.539616",-71.244087,"Supermarket or Other Grocery","445110"
"33","Market Basket","004502001","90 Water St","Fitchburg","MA","01420",2021,"Data Axle","042.580485",-71.793678,"Supermarket or Other Grocery","445110"
"34","Star Market","004557088","699 Mount Auburn St","Cambridge","MA","02138",2021,"Data Axle","042.375286",-71.14901,"Supermarket or Other Grocery","445110"
"35","Certified Oil Co","005499355","165 Flanders Rd","Westborough","MA","01581",2021,"Data Axle","042.272001",-71.561115,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"36","Cardullo's Gourmet Shoppe","008901811","6 Brattle St","Cambridge","MA","02138",2021,"Data Axle","042.373523",-71.119778,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"37","Shaw's Supermarkets Inc","008902702","750 W Center St","West Bridgewater","MA","02379",2021,"Data Axle","042.010473",-71.05326,"Supermarket or Other Grocery","445110"
"38","Family Foods","008902736","350 E Falmouth Hwy","East Falmouth","MA","02536",2021,"Data Axle","041.579012",-70.560842,"Supermarket or Other Grocery","445110"
"39","Ring Brothers Marketplace","008903726","485 Route 134","South Dennis","MA","02660",2021,"Data Axle","041.692832",-70.154666,"Supermarket or Other Grocery","445110"
"40","Cumberland Farms Inc","009588435","165 Flanders Rd","Westborough","MA","01581",2021,"Data Axle","042.272001",-71.561115,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"41","Pajer Superette","106190515","400 Cooper St","Agawam","MA","01001",2021,"Data Axle","042.078751",-72.630074,"Supermarket or Other Grocery","445110"
"42","CVS/PHARMACY","106195167","165 University Dr","Amherst","MA","01002",2021,"Data Axle","042.368660",-72.534351,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"43","Neighbor Food Mart","106195753","324 College St","Amherst","MA","01002",2021,"Data Axle","042.373072",-72.502957,"Supermarket or Other Grocery","445110"
"44","Walgreens","106202864","577 Meadow St","Chicopee","MA","01013",2021,"Data Axle","042.170974",-72.613975,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"45","Westover Super Mart","106209950","1782 Westover Rd","Chicopee","MA","01020",2021,"Data Axle","042.182503",-72.568403,"Supermarket or Other Grocery","445110"
"46","7-ELEVEN","106213457","97 Union St","Easthampton","MA","01027",2021,"Data Axle","042.267042",-72.669609,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"47","Valley Farms","106213879","128 Northampton St","Easthampton","MA","01027",2021,"Data Axle","042.281012",-72.670684,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"48","CVS/PHARMACY","106215387","217 N Main St","East Longmeadow","MA","01028",2021,"Data Axle","042.072882",-72.518502,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"49","Waniewski Farms","106220940","409 S Westfield St","Feeding Hills","MA","01030",2021,"Data Axle","042.053295",-72.674669,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"50","Goshen Genl Store","106221351","Main St","Goshen","MA","01032",2021,"Data Axle","042.449200",-72.8183,"Supermarket or Other Grocery","445110"
"51","Granville Country Store","106222839","11 Granby Rd","Granville","MA","01034",2021,"Data Axle","042.075500",-72.9621,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"52","Whole Foods Market","106223464","327 Russell St","Hadley","MA","01035",2021,"Data Axle","042.353153",-72.555298,"Supermarket or Other Grocery","445110"
"53","Super Stop & Shop","106225394","440 Russell St","Hadley","MA","01035",2021,"Data Axle","042.364269",-72.538925,"Supermarket or Other Grocery","445110"
"54","Gibbs Oil","106225519","110 Russell St","Hadley","MA","01035",2021,"Data Axle","042.342543",-72.594564,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"55","Village Food Mart IGA","106226582","43 Somers Rd","Hampden","MA","01036",2021,"Data Axle","042.055828",-72.439156,"Supermarket or Other Grocery","445110"
"56","King Mart","106232648","494 Westfield Rd","Holyoke","MA","01040",2021,"Data Axle","042.186802",-72.650139,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"57","Dairy Mart Inc","106232671","1552 Dwight St","Holyoke","MA","01040",2021,"Data Axle","042.210667",-72.627937,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"58","Strum's Deli & Meats","106239866","502 Westfield Rd","Holyoke","MA","01040",2021,"Data Axle","042.187214",-72.650113,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"59","Union Mart","106240534","297 Apremont Hwy","Holyoke","MA","01040",2021,"Data Axle","042.184020",-72.680656,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"60","Moltenbreys Market","106244429","44 Worthington Rd","Huntington","MA","01050",2021,"Data Axle","042.242383",-72.872188,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"61","Clementine's","106244601","4 Haydenville Rd","Leeds","MA","01053",2021,"Data Axle","042.349792",-72.690453,"Fruit and Vegetable Markets","445230"
"62","Ludlow Public Market","106247307","46 Birch St","Ludlow","MA","01056",2021,"Data Axle","042.161785",-72.476028,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"63","Cornucopia Foods","106254576","150 Main St Ste 8","Northampton","MA","01060",2021,"Data Axle","042.318287",-72.630775,"Supermarket or Other Grocery","445110"
"64","Cumberland Farms","106254675","53 Main St # 3","Florence","MA","01062",2021,"Data Axle","042.335343",-72.66912,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"65","Jane Alden Convenience Store","106264831","48 West St","Ware","MA","01082",2021,"Data Axle","042.259133",-72.245311,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"66","Sam's Food Stores","106266877","1078 Park St","Palmer","MA","01069",2021,"Data Axle","042.156343",-72.324701,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"67","Big Y","106267354","10 College Hwy Ste 2","Southampton","MA","01073",2021,"Data Axle","042.252625",-72.698626,"Supermarket or Other Grocery","445110"
"68","Walgreens","106267388","14 College Hwy","Southampton","MA","01073",2021,"Data Axle","042.252583",-72.69957,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"69","Pure Food Market Inc","106267719","31 College Hwy","Southampton","MA","01073",2021,"Data Axle","042.248367",-72.701643,"Supermarket or Other Grocery","445110"
"70","7-ELEVEN","106270184","426 Newton St","South Hadley","MA","01075",2021,"Data Axle","042.234146",-72.584516,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"71","Ware Package Store","106276355","51 Main St","Ware","MA","01082",2021,"Data Axle","042.260238",-72.240295,"Supermarket or Other Grocery","445110"
"72","CVS/PHARMACY","106290687","239 Memorial Ave","West Springfield","MA","01089",2021,"Data Axle","042.094917",-72.601715,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"73","Cumberland Farms","106291149","143 Park Ave","West Springfield","MA","01089",2021,"Data Axle","042.104895",-72.619526,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"74","Ez Mart Convenience Stores","106291719","662 Kings Hwy","West Springfield","MA","01089",2021,"Data Axle","042.107474",-72.647272,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"75","Royal Harvest Foods Inc","106327141","90 Avocado St","Springfield","MA","01104",2021,"Data Axle","042.108604",-72.608902,"Supermarket or Other Grocery","445110"
"76","Walgreens","106332562","50 Saint James Blvd","Springfield","MA","01104",2021,"Data Axle","042.135217",-72.569614,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"77","Honeyland Farm","106334741","806 Main St","Springfield","MA","01105",2021,"Data Axle","042.096817",-72.582299,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"78","416 Franklin LLC","106336423","412 Franklin St","Springfield","MA","01104",2021,"Data Axle","042.115629",-72.587367,"Supermarket or Other Grocery","445110"
"79","CVS/PHARMACY","106341894","615 Belmont Ave","Springfield","MA","01108",2021,"Data Axle","042.086111",-72.555245,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"80","Stop & Save","106342306","172 White St","Springfield","MA","01108",2021,"Data Axle","042.092859",-72.557045,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"81","Jays Foodmart","106346182","823 Belmont Ave","Springfield","MA","01108",2021,"Data Axle","042.084592",-72.547813,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"82","Ye Olde Butcher Shoppe","106346281","68 North Blvd","West Springfield","MA","01089",2021,"Data Axle","042.105837",-72.632774,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"83","One Stop Mart","106348451","477 Boston Rd","Springfield","MA","01109",2021,"Data Axle","042.131547",-72.525664,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"84","Wheeler's Convenience","106351430","954 State St","Springfield","MA","01109",2021,"Data Axle","042.113237",-72.559258,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"85","Quality Mart","106352404","1352 Allen St","Springfield","MA","01118",2021,"Data Axle","042.094046",-72.515151,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"86","7-ELEVEN","106355571","450 Cooley St","Springfield","MA","01128",2021,"Data Axle","042.091600",-72.500293,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"87","A-Mart","106362155","524 North St # A","Pittsfield","MA","01201",2021,"Data Axle","042.456035",-73.250901,"Supermarket or Other Grocery","445110"
"88","Big Y","106364359","200 West St Ste 2","Pittsfield","MA","01201",2021,"Data Axle","042.448569",-73.259117,"Supermarket or Other Grocery","445110"
"89","Guido's Fresh Marketplace","106367956","1020 South St","Pittsfield","MA","01201",2021,"Data Axle","042.408449",-73.264209,"Supermarket or Other Grocery","445110"
"90","Atlantis Fresh Market","106368392","1330 East St","Pittsfield","MA","01201",2021,"Data Axle","042.453510",-73.221076,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"91","Super Stop & Shop","106374135","660 Merrill Rd Ste 1","Pittsfield","MA","01201",2021,"Data Axle","042.465435",-73.203186,"Supermarket or Other Grocery","445110"
"92","7-ELEVEN","106376783","223 Columbia St","Adams","MA","01220",2021,"Data Axle","042.636643",-73.112741,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"93","Dalton General Store","106379936","200 North St Ste 101","Dalton","MA","01226",2021,"Data Axle","042.479196",-73.156321,"Supermarket or Other Grocery","445110"
"94","CVS/PHARMACY","106382260","362 Main St # 2","Great Barrington","MA","01230",2021,"Data Axle","042.192650",-73.36451,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"95","Gorham & Norton Inc Grocers","106383417","278 Main St","Great Barrington","MA","01230",2021,"Data Axle","042.194949",-73.362102,"Supermarket or Other Grocery","445110"
"96","Lanesboro Mkt & Hardware Inc","106386659","25 Main St","Lenox","MA","01240",2021,"Data Axle","042.357793",-73.285211,"Supermarket or Other Grocery","445110"
"97","Southfield Store","106401177","163 Norfolk Rd","Southfield","MA","01259",2021,"Data Axle","042.076700",-73.2537,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"98","Public Market","106402746","8 Main St","West Stockbridge","MA","01266",2021,"Data Axle","042.331400",-73.3698,"Supermarket or Other Grocery","445110"
"99","CVS/PHARMACY","106408388","137 Federal St","Greenfield","MA","01301",2021,"Data Axle","042.592178",-72.597239,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"100","Call's Corner Store","106408453","122 Conway St","Greenfield","MA","01301",2021,"Data Axle","042.591821",-72.607536,"Supermarket or Other Grocery","445110"
"101","Rite Aid","106412935","107 Main St","Greenfield","MA","01301",2021,"Data Axle","042.587132",-72.605143,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"102","New England Cheese Making Supl","106414550","54 Whately Rd Ste B","South Deerfield","MA","01373",2021,"Data Axle","042.478989",-72.620155,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"103","Adams Farm","106415060","854 Bearsden Rd","Athol","MA","01331",2021,"Data Axle","042.594680",-72.203681,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"104","Carroll's Market","106419450","33 E Main St","Millers Falls","MA","01349",2021,"Data Axle","042.578294",-72.493926,"Supermarket or Other Grocery","445110"
"105","Mccuskers Market","106423270","3 State St","Shelburne Falls","MA","01370",2021,"Data Axle","042.603554",-72.741661,"Supermarket or Other Grocery","445110"
"106","Market Basket","106436488","399 John Fitch Hwy","Fitchburg","MA","01420",2021,"Data Axle","042.581614",-71.775362,"Supermarket or Other Grocery","445110"
"107","Ashburnham Market Place","106442650","50 Main St","Ashburnham","MA","01430",2021,"Data Axle","042.636745",-71.909608,"Supermarket or Other Grocery","445110"
"108","Walgreens","106448384","52 Pearson Blvd","Gardner","MA","01440",2021,"Data Axle","042.565361",-71.976004,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"109","Groton General Store","106453319","871 Boston Rd","Groton","MA","01450",2021,"Data Axle","042.575127",-71.517326,"Supermarket or Other Grocery","445110"
"110","Bourbeau's Mkt & Liquor Dept","106457781","192 Water St","Leominster","MA","01453",2021,"Data Axle","042.527637",-71.750232,"Supermarket or Other Grocery","445110"
"111","7-ELEVEN","106462617","766 Central St","Leominster","MA","01453",2021,"Data Axle","042.501871",-71.745368,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"112","Senay's Package-Convenience","106465867","220 Mechanic St","Leominster","MA","01453",2021,"Data Axle","042.523350",-71.749505,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"113","Net Variety & Liquors","106473309","5 Front St","Shirley","MA","01464",2021,"Data Axle","042.544147",-71.652365,"Supermarket or Other Grocery","445110"
"114","Colony Farms","106480692","718 Southbridge St","Auburn","MA","01501",2021,"Data Axle","042.183424",-71.861081,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"115","Indian Head Farm","106484603","232 Pleasant St","Berlin","MA","01503",2021,"Data Axle","042.364087",-71.625558,"Fruit and Vegetable Markets","445230"
"116","CVS/PHARMACY","106485030","22 Main St","Blackstone","MA","01504",2021,"Data Axle","042.017188",-71.529111,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"117","Family Grocer","106485477","202 Main St","Blackstone","MA","01504",2021,"Data Axle","042.017548",-71.542938,"Supermarket or Other Grocery","445110"
"118","Ted's Package Store","106489388","27 Worcester Rd","Charlton City","MA","01508",2021,"Data Axle","042.146600",-71.9892,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"119","Rite Aid","106490261","1031 Main St","Clinton","MA","01510",2021,"Data Axle","042.432092",-71.686269,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"120","Family Convenience Ctr Inc","106493893","63 Main St","Douglas","MA","01516",2021,"Data Axle","042.059760",-71.733564,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"121","Xtra Mart","106494198","311 SW Main St","East Douglas","MA","01516",2021,"Data Axle","042.044496",-71.772577,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"122","J & T Mini Mart","106504418","238 Millbury Ave Ste 2","Millbury","MA","01527",2021,"Data Axle","042.216944",-71.755551,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"123","Pearson's Elmhurst Dairy","106505308","342 W Main St","Millbury","MA","01527",2021,"Data Axle","042.177192",-71.808174,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"124","Xtra Mart","106505787","157 Worcester Providence Tpke","Sutton","MA","01590",2021,"Data Axle","042.161185",-71.737271,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"125","CVS/PHARMACY","106507395","24 W Main St # 20","Northborough","MA","01532",2021,"Data Axle","042.320395",-71.643008,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"126","Davidian Brothers Farm","106507791","500 Church St","Northborough","MA","01532",2021,"Data Axle","042.338054",-71.682675,"Fruit and Vegetable Markets","445230"
"127","Lowe's Variety & Meat Shop","106508401","255 W Main St","Northborough","MA","01532",2021,"Data Axle","042.308346",-71.655602,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"128","CVS/PHARMACY","106517543","197 Boston Tpke # Route9","Shrewsbury","MA","01545",2021,"Data Axle","042.275485",-71.745318,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"129","Walgreens","106518970","557 Main St","Shrewsbury","MA","01545",2021,"Data Axle","042.296722",-71.714848,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"130","Walgreens","106523756","455 Main St","Southbridge","MA","01550",2021,"Data Axle","042.076970",-72.037307,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"131","Thomas Variety-Convenience Str","106527807","58 E Main St","Southbridge","MA","01550",2021,"Data Axle","042.072298",-72.024986,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"132","Xtra Mart","106528169","114 Worcester St","Southbridge","MA","01550",2021,"Data Axle","042.081408",-72.028051,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"133","Appletown Market","106531460","9 Main St","Sterling","MA","01564",2021,"Data Axle","042.436448",-71.761281,"Supermarket or Other Grocery","445110"
"134","CVS/PHARMACY","106537582","323 N Main St","Uxbridge","MA","01569",2021,"Data Axle","042.090710",-71.642173,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"135","CVS/PHARMACY","106551559","264 W Boylston St","West Boylston","MA","01583",2021,"Data Axle","042.345321",-71.787554,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"136","Bravo","106557606","79 May St","Worcester","MA","01602",2021,"Data Axle","042.257015",-71.824201,"Supermarket or Other Grocery","445110"
"137","Tatnuck Meat Mart","106557911","1100 Pleasant St # A","Worcester","MA","01602",2021,"Data Axle","042.277876",-71.851961,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"138","Walgreens","106561095","320 Park Ave","Worcester","MA","01610",2021,"Data Axle","042.261079",-71.821504,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"139","7-ELEVEN","106562432","973 Main St","Worcester","MA","01603",2021,"Data Axle","042.248924",-71.824055,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"140","CVS/PHARMACY","106565773","500 Grafton St Ste 2","Worcester","MA","01604",2021,"Data Axle","042.250422",-71.779667,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"141","D'Alonzo's","106566623","310 Belmont St","Worcester","MA","01604",2021,"Data Axle","042.273457",-71.766582,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"142","John & Sons Market","106568769","71 Suffolk St","Worcester","MA","01604",2021,"Data Axle","042.258647",-71.786886,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"143","Walgreens","106577620","348 Greenwood St","Worcester","MA","01607",2021,"Data Axle","042.212743",-71.796129,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"144","CVS/PHARMACY","106606387","400 Park Ave","Worcester","MA","01610",2021,"Data Axle","042.257607",-71.82336,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"145","Penny Wise Markets","106616618","3 May St","Worcester","MA","01610",2021,"Data Axle","042.254553",-71.814896,"Supermarket or Other Grocery","445110"
"146","Main Street Superette","106618135","781 Main St","Worcester","MA","01610",2021,"Data Axle","042.256107",-71.810669,"Supermarket or Other Grocery","445110"
"147","Super Stop & Shop","106643257","19 Temple St","Framingham","MA","01702",2021,"Data Axle","042.297466",-71.449019,"Supermarket or Other Grocery","445110"
"148","Waverly Market","106645633","684 Waverley St","Framingham","MA","01702",2021,"Data Axle","042.273134",-71.426889,"Supermarket or Other Grocery","445110"
"149","CVS/PHARMACY","106659790","199 Great Rd","Bedford","MA","01730",2021,"Data Axle","042.488980",-71.272373,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"150","Whole Foods Market","106662281","170 Great Rd","Bedford","MA","01730",2021,"Data Axle","042.490826",-71.274712,"Supermarket or Other Grocery","445110"
"151","Bolton Country Cupboard","106663818","476 Main St Ste 3","Bolton","MA","01740",2021,"Data Axle","042.429533",-71.589144,"Supermarket or Other Grocery","445110"
"152","Cheese Shop of Concord","106667397","29 Walden St","Concord","MA","01742",2021,"Data Axle","042.459229",-71.349593,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"153","Walgreens","106671878","71 Lowell Rd","Concord","MA","01742",2021,"Data Axle","042.462300",-71.353726,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"154","Turnpike Liquor","106672926","65 Turnpike Rd","Southborough","MA","01772",2021,"Data Axle","042.295073",-71.503926,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"155","Holliston Superette","106674989","777 Washington St","Holliston","MA","01746",2021,"Data Axle","042.199850",-71.430503,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"156","Walgreens","106680952","186 Main St","Hudson","MA","01749",2021,"Data Axle","042.392109",-71.563385,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"157","7-ELEVEN","106683212","28 Cox St","Hudson","MA","01749",2021,"Data Axle","042.398987",-71.568071,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"158","Walgreens","106690704","99 Granger Blvd","Marlborough","MA","01752",2021,"Data Axle","042.345046",-71.548965,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"159","Nk Market Inc","106694466","27 Boston Post Rd E","Marlborough","MA","01752",2021,"Data Axle","042.351395",-71.529829,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"160","CVS/PHARMACY","106696412","105 Main St","Maynard","MA","01754",2021,"Data Axle","042.432290",-71.454537,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"161","7-ELEVEN","106697436","5 Waltham St","Maynard","MA","01754",2021,"Data Axle","042.432197",-71.449241,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"162","Peter's Market","106704505","75 Purchase St","Milford","MA","01757",2021,"Data Axle","042.153370",-71.522563,"Supermarket or Other Grocery","445110"
"163","Purchase Street Market Inc","106704729","89 Purchase St","Milford","MA","01757",2021,"Data Axle","042.154966",-71.522653,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"164","Bj's Wholesale Club Inc","106708779","25 Research Dr","Westborough","MA","01581",2021,"Data Axle","042.286974",-71.577521,"Warehouse Clubs and Supercenters","452311"
"165","Walgreens","106714462","148 W Central St","Natick","MA","01760",2021,"Data Axle","042.281257",-71.376973,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"166","Mauro's Market","106722093","4 Main St","Southborough","MA","01772",2021,"Data Axle","042.305648",-71.524357,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"167","Shaw's Supermarket","106729437","509 Boston Post Rd","Sudbury","MA","01776",2021,"Data Axle","042.358934",-71.42948,"Supermarket or Other Grocery","445110"
"168","Convenient Food Mart","106738099","880 Main St","Woburn","MA","01801",2021,"Data Axle","042.506541",-71.160723,"Convenience Stores, Pharmacies, and Drug Stores","445120"
